epoch,loss,accuracy,z_hidden_0,a_hidden_0,z_hidden_1,a_hidden_1,z_hidden_2,a_hidden_2
0,1.1514204120122706,0.125,0.6375581890499188,0.6542012775206283,0.025606050467060056,0.506401162866478,-1.0573297741106107,0.25782006892831455
1,1.1514204120122706,0.125,0.6370258985691459,0.6540808518398978,0.018885266666500842,0.5047211763488667,-1.071954099349434,0.25503164616270174
2,1.1514204120122706,0.125,0.6368604050688107,0.6540434064761815,0.012569066618732513,0.5031422252870202,-1.0863443075722352,0.2523072939773151
3,1.1514204120122706,0.125,0.6370483196863415,0.6540859248039702,0.006658385583539782,0.5016645902460471,-1.1004845995096753,0.24964910606534224
4,1.1514204120122706,0.125,0.6375755792975228,0.6542052115660811,0.0011524782419347415,0.5002881195285935,-1.1143595081460729,0.2470590351262611
5,1.1514204120122706,0.125,0.6384275251998198,0.6543979140815287,-0.00395104255057745,0.4990122406473263,-1.1279540988365597,0.24453886231426658
6,1.1514204120122706,0.125,0.6395889912966543,0.6546605456187615,-0.00865614502237743,0.49783597725669954,-1.1412541659832671,0.242090169034208
7,1.1514204120122706,0.125,0.6410444002484946,0.6549895105366709,-0.012968297668308482,0.4967579710189522,-1.1542464202340663,0.23971431200885793
8,1.1514204120122706,0.125,0.6427778656883911,0.6553811307117784,-0.016894370713910416,0.4957765077767233,-1.1669186604826,0.23741240241076153
9,1.1514204120122706,0.125,0.6447732983321411,0.6558316727109813,-0.02044252258679135,0.49488954732218443,-1.179259925556924,0.23518528968168048
10,1.1514204120122706,0.125,0.6470145136565099,0.6563373751374064,-0.02362207439509509,0.4940947559936993,-1.1912606213483083,0.23303355046373642
11,1.1514204120122706,0.125,0.6494853387768812,0.6568944755730378,-0.026443375581283228,0.4933895412982909,-1.2029126201943063,0.23095748285174
12,1.1514204120122706,0.125,0.6521697162257729,0.6574992365648858,-0.028917663974356442,0.49277108775294115,-1.2142093305190784,0.2289571059597701
13,1.1514204120122706,0.125,0.6550518025065325,0.6581479701490144,-0.031056923404629625,0.49223639315973194,-1.2251457359695226,0.22703216459030848
14,1.1514204120122706,0.125,0.6581160595568185,0.6588370604746983,-0.03287374187862397,0.4917823045772617,-1.2357184044882552,0.22518213861305272
15,1.1514204120122706,0.125,0.6613473375838744,0.6595629841742274,-0.0343811730504343,0.4914055533203074,-1.2459254688614871,0.22340625651224888
16,1.1514204120122706,0.125,0.6647309481047222,0.6603223282165759,-0.03559260338832618,0.4911027884068336,-1.2557665812124856,0.22170351245211486
17,1.1514204120122706,0.125,0.6682527264148324,0.661111805079368,-0.036521627043231426,0.4908706079708052,-1.2652428446385384,0.22007268614229394
18,1.1514204120122706,0.125,0.6718990830952203,0.6619282651676823,-0.03718193000281071,0.49070558826514954,-1.2743567256897628,0.21851236475857216
19,1.1514204120122706,0.125,0.6756570445297947,0.6627687064953779,-0.03758718468403213,0.4906043099860727,-1.2831119516596672,0.21702096618473865
20,1.1514204120122706,0.125,0.6795142827258726,0.6636302817210523,-0.03775095569979543,0.4905633817527413,-1.2915133967147805,0.21559676288373042
21,1.1514204120122706,0.125,0.6834591349997723,0.664510302693908,-0.03768661714850916,0.4905794606709866,-1.2995669607616507,0.21423790577301596
22,1.1514204120122706,0.125,0.6874806143000911,0.6654062427134044,-0.037407281432834096,0.49064926999307007,-1.307279444670279,0.21294244756296118
23,1.1514204120122706,0.125,0.691568411092193,0.6663157367404822,-0.036925739323531444,0.4907696139557625,-1.3146584250836866,0.21170836511029623
24,1.1514204120122706,0.125,0.695712887821115,0.6672365798181258,-0.036254410750532144,0.4909373899351433,-1.3217121315838138,0.21053358043515621
25,1.1514204120122706,0.125,0.6999050670120779,0.6681667239665918,-0.0354053056261031,0.4911495980986965,-1.3284493284910492,0.20941598014398327
26,1.1514204120122706,0.125,0.704136614065613,0.6691042738156889,-0.034389993881329725,0.49140334876429703,-1.3348792030796581,0.20835343308766427
27,1.1514204120122706,0.125,0.7083998157665234,0.670047481225208,-0.03321958382180197,0.4916958676928701,-1.3410112615189906,0.20734380616173925
28,1.1514204120122706,0.125,0.7126875554612363,0.6709947391271103,-0.031904707874715756,0.4920244995485715,-1.3468552334184622,0.20638497822169216
29,1.1514204120122706,0.125,0.7169932857748329,0.6719445748014146,-0.030455514800264955,0.49238670975907933,-1.3524209854743754,0.2054748521405847
